layer,transmission_time,transmission_data,computation_time
0,0.27260351181030273,0.01171875,92.29588508605957
1,0.4558753967285156,0.75,21.18849754333496
2,0.32070136070251465,0.625,45.33958435058594
3,0.1476125717163086,0.375,4.270792007446289
4,0.10168218612670898,0.09375,29.07586097717285
5,0.1299421787261963,0.1875,6.601572036743164
6,0.12595915794372559,0.1875,11.346578598022461
7,0.07898616790771484,0.1875,2.712249755859375
8,0.0359344482421875,0.046875,19.170045852661133
9,0.03656721115112305,0.046875,6.751298904418945
10,0.020493745803833008,0.046875,2.5548934936523438
11,0.0036275386810302734,0.0029296875,0.9162425994873047
