layer,transmission_time,transmission_data,computation_time
0,0.25897467136383057,0.287109375,67.99459457397461
1,0.2540628910064697,0.3896484375,70.02723217010498
2,0.23708391189575195,0.3896484375,38.968682289123535
3,0.2341850996017456,0.3896484375,33.85019302368164
4,0.1866542100906372,0.3896484375,64.4603967666626
5,0.13333404064178467,0.1982421875,49.70407485961914
6,0.12830901145935059,0.1982421875,53.99584770202637
7,0.12515223026275635,0.1982421875,33.600807189941406
8,0.09506547451019287,0.1982421875,74.55503940582275
9,0.08071589469909668,0.1025390625,62.70956993103027
10,0.07367503643035889,0.1025390625,56.81180953979492
11,0.0661698579788208,0.1025390625,58.734893798828125
12,0.06556260585784912,0.1025390625,63.93098831176758
13,0.06516480445861816,0.1025390625,55.496811866760254
14,0.05400872230529785,0.1025390625,139.8167610168457
15,0.03966057300567627,0.0546875,123.97682666778564
16,0.037520408630371094,0.0546875,147.01461791992188
17,0.0036203861236572266,0.001953125,1.6039609909057617
