layer,transmission_time,transmission_data,computation_time
0,4.009624719619751,0.57421875,27.983427047729492
1,7.807634592056274,12.25,216.23492240905762
2,5.021195650100708,12.25,37.11748123168945
3,2.9240386486053467,3.0625,86.34161949157715
4,4.045267820358276,6.125,217.29779243469238
5,2.5621860027313232,6.125,18.647193908691406
6,1.567737102508545,1.53125,75.78444480895996
7,2.07130765914917,3.0625,148.73504638671875
8,2.177314519882202,3.0625,148.15711975097656
9,1.3556718826293945,3.0625,11.974334716796875
10,0.8299417495727539,0.765625,91.59111976623535
11,1.1107542514801025,1.53125,171.4932918548584
12,1.1207752227783203,1.53125,165.28892517089844
13,0.6984796524047852,1.53125,3.978729248046875
14,0.2759060859680176,0.3828125,84.94687080383301
15,0.277726411819458,0.3828125,102.58698463439941
16,0.28583478927612305,0.3828125,80.37114143371582
17,0.17977643013000488,0.3828125,1.3775825500488281
18,0.041007041931152344,0.095703125,2725.8870601654053
