layer,transmission_time,transmission_data,computation_time
0,1.8216649293899536,0.2896728515625,27.85515785217285
1,3.571683883666992,6.234375,102.62930393218994
2,2.174777865409851,6.2890625,20.616650581359863
3,1.3192319869995117,1.5859375,40.27509689331055
4,1.858853816986084,3.2265625,76.49719715118408
5,1.175997018814087,3.28125,9.07289981842041
6,0.769734263420105,0.833984375,37.99426555633545
7,1.0007030963897705,1.72265625,73.73952865600586
8,1.0487467050552368,1.77734375,77.39067077636719
9,0.685196042060852,1.83203125,3.825068473815918
10,0.4304525852203369,0.478515625,54.64375019073486
11,0.5953025817871094,1.01171875,98.33872318267822
12,0.6488089561462402,1.06640625,100.45671463012695
13,0.4259253740310669,1.12109375,4.421234130859375
14,0.1694037914276123,0.30078125,56.298136711120605
15,0.18877124786376953,0.328125,53.308844566345215
16,0.21423840522766113,0.35546875,58.551669120788574
17,0.14764189720153809,0.3828125,1.5770196914672852
18,0.017508268356323242,0.0478515625,1080.8852910995483
